username,location,Anime-Watching,Anime-Completed,Anime-Total,Anime-Mean-Score,Manga-Reading,Manga-Completed,Manga-Total,Manga-Mean-Score
roderick806,#4039,21,356,484,7.51,7,6,41,7.93
blackydono,,10,121,665,7.97,9,4,131,9.0
Skeleten,,10,107,142,7.73,23,6,35,7.86
PrinzLight,,61,119,235,8.12,0,0,0,0.0
WiNGtAcK,"Germany, 489",5,162,393,8.09,0,0,2,0.0
DLeeMM,,5,103,147,7.65,1,4,5,9.0
InuDash,,20,265,474,7.4,26,17,75,7.95
Dany_y,Italy,14,180,308,7.69,5,0,5,9.0
NevOzSama,,8,79,179,8.27,0,1,3,0.0
ChaoticCitrus,Virginia,3,91,151,7.69,4,5,11,8.8
N-10,,0,253,300,10.0,190,85,371,10.0
vivo97,,38,266,602,8.36,5,1,9,0.0
ofekzx3,,14,264,305,8.16,3,0,3,9.5
AyumiShouta,,0,23,44,0.0,0,0,0,0.0
Jef232232,,6,6,23,9.5,0,0,0,0.0
myron20k,,13,31,121,8.5,3,0,11,9.0
Math_Lobato,"Manaus, Amazonas",29,69,163,8.33,3,0,4,10.0
yo_boi,,35,76,272,9.15,2,4,16,0.0
Lazaroa1,,23,216,423,7.97,11,1,39,7.83
kgmoneylove,"Ohio, United States of America",3,90,232,8.01,0,2,2,10.0
Ilyasacar,,17,364,499,7.67,92,19,146,7.59
VampiFullbuster5,,21,92,254,8.39,5,1,7,10.0
markevans7799,,4,79,94,7.61,2,0,2,8.5
ShifuTheDoom,,5,7,30,7.86,0,0,0,0.0
coolbean59,,5,22,34,8.71,1,5,6,9.4
jazonandes,,10,65,182,6.86,9,6,17,7.71
willhawthorne,,0,0,9,0.0,0,0,0,0.0
raoswetha1992,,2,39,41,8.63,2,0,2,0.0
Younger_Twinn,,47,153,395,8.91,5,4,12,9.25
Turbo_Buster,,14,116,271,8.97,3,2,12,10.0
GranMeninon,,3,64,110,6.48,0,0,0,0.0
MartenzGamer,,12,82,114,0.0,0,0,0,0.0
cyan_knots,,28,98,197,7.34,12,4,19,5.0
SasiDaniele,,8,577,643,7.34,25,57,92,8.0
quinnab89,Amsterdam,7,103,227,8.05,16,8,40,8.6
borasdk,,8,211,234,6.71,0,0,0,0.0
SRFahim,,4,1,9,0.0,0,0,0,0.0
Camilo_Cast,,12,108,192,8.56,0,0,0,0.0
Uchiha_Cabir,,5,79,305,8.1,0,0,13,9.0
ChenWasTaken,,9,43,123,7.3,0,0,0,0.0
Ranima,Yoshi City,14,64,193,7.91,11,2,37,7.75
PhoenixLegend,,2,140,343,7.7,2,0,13,10.0
Wolfpl,,10,64,104,8.17,0,2,3,0.0
Dreixan,,10,83,669,8.09,1,2,175,8.5
AllyLB,Italy,4,87,128,5.75,26,27,57,6.95
loltrollgames,,3,36,94,0.0,0,0,0,0.0
Fayshall,,10,51,64,10.0,1,1,2,10.0
Xxx_Bryan_kill,,9,149,176,10.0,0,0,0,0.0
k12fly,,12,220,321,7.69,21,10,107,7.52
XTenshii_,Netherlands,14,160,306,7.59,0,3,3,8.0
DarkSoul12345,Serbia,8,126,450,0.0,0,2,2,0.0
GrundleStuffer,,3,12,18,0.0,0,0,0,0.0
Sara_anime,,4,175,1056,7.74,26,12,58,8.9
