username,location,Anime-Watching,Anime-Completed,Anime-Total,Anime-Mean-Score,Manga-Reading,Manga-Completed,Manga-Total,Manga-Mean-Score
Griffithgutsz,,22,414,450,6.14,1,2,4,9.0
XoryantHD,,11,72,223,8.27,1,1,2,8.0
richie130,"British Columbia, Canada",11,168,225,7.76,0,0,0,0.0
vilhelmiina113,,22,260,378,8.34,2,2,25,10.0
Oscarblok,Norway,3,65,186,8.38,2,0,6,9.0
NatoGamerTV,,2,29,41,8.2,1,0,1,10.0
KiroPlays,,1,9,12,0.0,0,0,0,0.0
Psychorx,,0,0,0,0.0,0,0,0,0.0
Denpler,,9,11,53,8.0,1,0,2,8.0
smiithos,,23,157,204,8.1,0,0,0,0.0
Deasti,,15,109,279,7.29,15,0,20,0.0
kronowik,,6,52,132,8.21,1,1,9,8.0
DinoRex14,,23,146,498,9.83,0,0,0,0.0
Doryo,,16,73,360,7.66,0,0,26,0.0
crazymario,,8,58,247,7.1,2,0,28,7.33
MrGamealot,8a53201c355e7e4b2ec6609628e26997,26,172,345,7.13,8,1,9,8.6
Arij_Benasser,,19,129,307,8.58,3,0,4,0.0
HidekiHitsugaya,,22,547,657,6.81,14,65,85,7.63
NuTcaSe2108,My Room,20,292,475,7.37,4,3,12,9.71
sandy_indarsan69,vinewood,6,226,246,9.15,3,6,10,9.75
Xemur,,7,59,83,0.0,6,1,7,0.0
AtomicEchoe_,,2,240,258,0.0,0,0,0,0.0
GenoStars,,1,133,620,7.05,0,0,0,0.0
Mushiro,Bulgaria,10,1701,1905,7.07,142,665,855,7.16
Mercuriously,,4,124,180,9.55,0,0,0,0.0
Rishabh75,,11,98,133,7.15,0,0,0,0.0
us_sans350,,33,122,166,7.8,2,1,3,9.67
nekatsuki,,11,41,68,7.85,0,0,1,0.0
Tom_Chien,,0,43,43,7.37,18,244,262,7.31
Pixxz,,36,175,290,7.84,32,170,205,7.72
cegatti,,5,71,93,8.28,0,0,1,7.0
KaanSins,"Lüleburgaz, Kırklareli",6,321,437,7.45,24,30,71,7.8
Tamii7,,37,262,370,0.0,33,21,57,0.0
Kiyoraka_Ken,,292,534,875,7.36,6,71,78,7.15
Uvogin2298,,1,0,1,6.0,0,0,0,0.0
777gambit777,,6,51,57,7.52,3,7,11,8.38
Angel925,,0,0,21,0.0,0,0,0,0.0
Suzen,,35,58,133,9.94,0,0,0,0.0
Randluf,,34,226,422,7.52,1,0,3,9.0
lHISASHI,,10,47,120,7.48,0,0,1,0.0
td00000,,4,143,211,0.0,6,59,93,0.0
Lauchaks18,🇦🇷,4,23,371,7.21,13,14,142,7.64
_rotten_ham,,16,80,112,8.49,82,48,133,8.0
Noy090,,29,181,394,7.03,18,19,107,7.74
Dryleader3387,,3,714,748,7.03,0,0,0,0.0
LeoDN,,32,65,110,7.0,0,0,0,0.0
Katie9240,,8,48,86,8.4,0,0,0,0.0
GiovannaBestJojo,,2,371,556,5.89,0,0,0,0.0
PhilNP,"Mannheim, Germany",14,147,399,8.19,7,1,14,8.0
CorvoDotDot,,1,48,108,7.85,0,1,1,9.0
GABiiNHO,Miskolc,11,194,255,7.17,8,5,27,8.18
ToRy112,"Calarasi, Romania",23,239,403,7.16,1,0,2,10.0
Q9_,,4,45,51,7.06,0,0,0,0.0
Port-Chrome,,16,91,265,7.05,12,6,43,7.44
MarcBionicle,"Barcelona, Spain",18,547,824,7.8,20,4,39,8.25
Menewen,canada,2,247,527,7.53,0,2,5,8.0
Arjon,"Karaj, Iran",47,815,1512,6.8,3,0,3,9.0
Su8Su8,,1,195,216,7.74,1,7,53,7.63
fiske,Norway,2,42,44,8.19,0,0,0,0.0
zhuumie,,49,273,655,7.5,29,45,625,7.78
SwaggerBae,"British Columbia, Canada",4,289,765,6.53,11,6,167,6.5
Munkynutz,,17,169,247,8.59,0,0,0,0.0
Schneeze,,7,26,38,8.33,11,24,36,8.05
UberScrub,,0,77,79,8.83,0,0,0,0.0
Rocketboy_227,,1,52,63,7.47,0,0,0,0.0
Soauwu,,2,146,238,7.6,0,39,76,7.95
peachedanik,,32,139,506,7.11,6,9,48,7.45
syymyk,,14,132,213,8.83,23,16,55,0.0
asantos91,,1,105,196,8.22,0,1,6,9.0
aceharrison,,7,176,279,7.38,5,2,10,7.0
BRV3407,,5,17,101,8.0,1,0,1,0.0
Sh4rky_Style,"Lecco, Italy",21,255,722,8.33,1,2,3,8.5
fullmetalmasify,"Chittenango, NY, USA",10,166,193,7.15,49,3,84,0.0
grait,,8,175,214,6.87,10,21,56,7.45
Light_Lelouch,,22,392,735,7.22,14,5,31,9.8
Kreachers,,9,125,175,8.36,10,2,22,9.29
MrWhimat,Poland,22,735,1527,6.61,3,0,29,7.0
Foldex,,3,521,795,0.0,0,0,0,0.0
Pedobaka,Somewhere in the North of Italy,2,158,221,8.41,3,60,133,8.38
pipio,di memt,5,230,423,7.83,6,54,165,8.73
Igor_soares,,1,56,62,9.6,2,1,3,9.67
Sevealz,The Netherlands,5,16,33,8.77,5,0,5,9.0
Zechyn,,3,44,88,7.07,2,1,15,7.33
Nibormik,,11,69,171,8.38,1,0,1,8.0
FlyingGlacier,"Sheffield, United Kingdom",4,66,210,7.85,6,2,23,8.0
foxhuntban,,3,6,121,7.57,0,0,1,0.0
yousuckjdd,,8,35,97,9.32,1,1,7,8.33
Dynomadness,,71,42,161,0.0,0,0,0,0.0
AngryWulfie,,5,24,40,8.91,1,2,5,9.5
Supthomas08,,5,165,197,7.13,2,1,3,0.0
Nirgranth_Shah,,19,191,938,6.36,1,0,2,9.0
Tunnelrat47,,18,129,183,7.72,69,54,166,7.27
KiritoRajin,Zürich,26,152,283,7.68,4,5,12,8.25
MistBear,,16,181,284,8.36,0,0,0,0.0
yhelluthere,,1,19,22,8.36,0,0,0,0.0
mwalkeru,,38,592,950,7.28,1,3,13,8.38
dofifor,,38,1119,1209,5.9,124,103,243,6.71
SnailMail62,,5,55,98,8.0,0,0,0,0.0
GiGi39,,3,128,167,7.61,7,8,20,8.0
BryanR,,2,120,676,6.75,0,0,0,0.0
Bloodmiasma,,18,370,478,7.56,31,37,82,7.8
Areku123,,20,112,136,8.34,0,0,0,0.0
Moneeb29,"Zarqa, Jordan",33,442,570,7.9,0,0,0,0.0
UltimaWeaponEX,,4,544,2213,7.66,14,43,179,7.86
chidori999,,0,189,189,8.71,1,1,2,8.5
cagrib2003,,6,20,56,8.48,0,0,0,0.0
Ur-mom-gay,,18,186,206,8.29,3,0,3,10.0
Conkerovsky,,1,66,138,8.37,4,0,4,8.5
nicholas3015,UK,4,84,98,6.98,2,1,3,8.67
ensorcell,California,4,432,522,5.1,8,8,36,6.64
rTatsuhiro,"Paraná, Brazil",15,1000,1070,6.41,8,9,19,8.09
MartusiaLi,,3,9,19,7.33,0,0,0,0.0
Foo32,,5,323,404,6.57,12,53,69,7.39
1Mark3,,0,6,29,10.0,0,0,0,0.0
FxckThisShxt,,15,306,394,6.99,12,19,56,9.5
breadnotaquired,Under your pillow,20,83,168,7.42,3,2,8,7.5
za_hax,911,3,52,136,8.13,0,0,0,0.0
Cat-astrophe,,29,122,592,7.92,2,0,52,0.0
hurleyjacoba,,0,22,45,7.43,0,0,0,0.0
todd2580,,110,32,406,8.18,7,0,66,8.0
willx500,71681f2cf0ae4a8e0399dee0bed617ec,2,162,210,8.33,9,10,21,9.06
Mimidou,Rennes France,21,367,684,7.15,97,22,174,7.5
xeloo,"Zala, Hungary",17,593,814,6.91,6,8,58,7.74
Meivc,,14,58,79,0.0,0,0,1,0.0
andrewbaay,"Manila, Philippines",36,134,447,7.87,72,21,98,7.95
matzemau,,6,91,117,7.76,7,2,10,9.0
ayylmaokekkie,810,17,164,263,6.94,0,0,0,0.0
ingrinder,,5,24,69,8.17,0,0,0,0.0
Auth,,0,418,418,0.0,0,0,0,0.0
Frederik322P,"Norderstedt, Germany",10,139,229,7.72,1,0,4,0.0
literal_retard,,7,224,357,6.68,13,15,59,8.46
McShwick,Texas,10,298,426,6.68,1,1,3,7.0
mama-boy,,155,637,980,7.01,0,0,0,0.0
Ustar,Hinamizawa,11,131,414,7.91,3,3,10,8.67
petikehh69,,14,150,270,8.54,3,1,6,9.33
Yuu-tama,,10,176,194,8.99,2,36,42,8.81
tubrafe,"Brasil, Brasilia",17,92,133,8.07,6,3,11,9.22
Last00,,0,63,63,0.0,0,0,0,0.0
gregzombie,,4,311,584,8.31,3,24,35,8.72
Gabrielmrpaiva,,1,143,159,8.1,0,0,0,0.0
thewishmen,,3,46,53,8.47,0,0,0,0.0
Laxus_Uchiha,,22,84,314,6.8,0,0,0,0.0
Levy-,,6,98,220,5.94,3,2,11,0.0
virtualityy,"Houston, Texas",19,206,740,6.89,20,0,101,8.22
Deamer,,3,877,1031,6.8,42,38,91,7.68
SirenFlame,,3,25,32,7.17,2,4,7,8.0
9866161997,,9,17,81,9.85,0,0,0,0.0
AerialSong,,47,97,267,8.43,0,1,1,10.0
Querax,,7,50,64,8.32,2,0,2,0.0
10G2Sucres,,3,101,194,8.74,3,0,4,9.5
SneakyGR,584,30,167,265,7.35,1,0,1,0.0
manwe96,,34,70,407,8.02,2,1,7,10.0
kingofpancakes,,10,65,233,7.42,7,19,46,7.24
Arun_Kancharla,,12,73,645,8.08,1,1,28,0.0
FallenDegenerate,"Delhi, India ",3,519,808,6.14,3,34,177,6.7
GigivraliGX,France 540,9,322,424,6.57,7,24,44,7.0
HugoTheBeast,,6,72,156,8.59,0,0,0,0.0
Batatei,"São Paulo, Brazil",9,89,177,7.26,5,0,9,0.0
CarmanhanZ,,4,500,618,6.93,12,7,19,8.26
Leucio,Maine,5,190,604,9.04,0,0,0,0.0
Benefits,,3,57,88,7.43,0,0,0,0.0
Liilyth,"Cluj-Napoca, Romania",17,946,1047,9.32,2,31,35,0.0
WolfIsTaken,,68,189,486,8.6,0,0,2,0.0
Dragonslayer9099,,22,55,89,7.67,0,0,0,0.0
Alliey5,,24,330,704,7.9,0,0,1,0.0
waterfairy_,,15,220,255,7.6,17,22,42,8.39
Ariliia,,0,58,77,10.0,0,0,0,0.0
Parpolgeodac16,,1,17,38,8.43,1,0,1,0.0
kappanosei,,4,135,356,0.0,3,0,11,0.0
Ataraxie-,,10,237,265,7.28,0,0,0,0.0
dmodak365,,15,171,210,8.95,0,0,0,0.0
SaltyMusicGuy,"Espinho, Portugal",6,297,2704,7.21,8,0,807,7.67
sleepingtables,Niflheim,13,401,568,5.89,7,25,51,7.72
daltanious78,,0,0,16134,8.0,0,0,292,0.0
UmataldeKukki,,9,52,180,7.27,0,0,0,0.0
MuneRoons,,3,21,27,8.0,4,0,4,7.33
okashihime,Hong Kong,1,301,319,8.92,0,0,0,0.0
Tkradoriscar,"Hidden Leaf, GA",22,351,401,6.93,0,0,0,0.0
Abernauthy,"Tuscany, Italy",2,605,861,7.56,0,70,225,7.5
WastelandOasis,,20,98,240,8.15,0,0,1,0.0
Lam3nia,,0,242,341,6.04,10,37,91,0.0
CPULink,Puerto Rico,11,464,547,8.32,11,32,55,8.85
Panku,USA,6,401,447,6.34,6,25,55,6.28
sneasle,,4,129,166,7.24,6,0,7,9.0
Salty_Reigen,,5,118,123,8.24,0,0,0,0.0
Simon_Ronval,,4,23,59,8.89,0,0,0,0.0
swierzbowy_mebel,,4,70,190,7.39,0,0,0,0.0
ImURLink,"Nuevo Leon, México",33,926,1453,7.46,1,0,1,0.0
HyoumaruBR,,6,48,101,0.0,9,6,54,7.67
ImElliee,Hawaii,30,335,837,6.79,16,5,174,8.0
Aselo_,Loliville,12,216,415,0.0,0,0,0,0.0
Kazuki564,France,22,1093,1300,7.65,24,118,224,7.37
Xapy,,5,255,295,6.74,3,25,28,6.56
NieHao,"Rio Verde, Goias",22,301,687,5.9,10,32,46,7.49
MunOkami,,25,453,489,0.0,0,0,0,0.0
BigBoiOnDuty,Poland,12,463,746,5.64,20,24,176,7.05
BRzueiro,"Campo Largo, Parana, Brasil",9,116,174,6.62,16,16,75,7.34
ZenDearu,Clarines Kingdom,71,658,848,7.85,7,10,24,9.21
Aaryaa,,2,172,234,8.5,12,241,267,8.4
Vacu0us,United Kingdom,18,827,1163,6.18,44,62,235,7.04
luffy606,"Spain, Valencia",31,928,1486,7.83,70,42,201,7.93
someone_11111,"Qatif, Saudi Arabia",3,520,774,8.11,8,9,32,9.33
NikorasuX7,,16,765,795,5.89,92,135,257,7.03
Spiritless,"Chile, Concepción",2,188,348,7.35,97,381,649,7.24
KaouGln,,4,33,53,0.0,0,0,0,0.0
BarbaDeBode,"Reino élfico, São Paulo",10,23,42,8.13,1,0,2,0.0
LordRukario,,54,1464,1571,7.69,0,4,4,9.0
bengy290,,40,82,165,8.23,0,0,0,0.0
1146,,33,190,567,6.97,5,0,19,8.0
IamJemboy,"Toronto, Canada",12,337,736,8.09,33,3,60,8.8
Snaggletooth,,10,261,362,7.73,0,0,0,0.0
VRM,,26,452,840,6.7,2,10,30,7.6
Phantom167,Indonesia,8,871,1110,8.1,97,34,196,7.91
Kawaii_Kaiser,,5,2329,4821,6.44,24,41,149,8.0
donivern,,0,11,93,0.0,0,0,0,0.0
DaRealWiz,,0,11,12,0.0,0,0,0,0.0
FelipeZell,,4,273,277,0.0,6,12,21,0.0
LuiXxxLP,,10,35,101,0.0,0,0,0,0.0
TitanGamer036,,12,55,89,7.41,0,0,0,0.0
Axewell_Stevens,,4,33,57,7.84,0,0,0,0.0
riki87,,7,45,59,7.64,0,1,1,8.0
AzErLoc,,6,171,229,0.0,3,1,4,0.0
TheBlueDevil,,8,109,360,10.0,2,5,18,10.0
Sylsko,fbb848d76e70f69cfa1a56c992bbcef8,10,178,240,7.29,0,3,5,8.4
Gaziel,"Bahia ,Brasil",13,186,274,6.86,14,8,22,8.29
Zer0Flamer,,13,62,75,7.48,0,0,0,0.0
Danvision10,,2,47,63,7.63,0,0,0,0.0
VGNoxious,,7,59,95,8.14,1,2,4,8.5
Aure03,,17,163,1828,7.51,3,7,82,9.1
-Frost-,,3,151,171,6.55,0,1,2,9.0
pledgeriver8,,16,104,183,8.01,11,5,26,8.71
Kierah,Guwahati (India),2,105,159,7.32,11,55,102,6.89
Kllev,,0,42,62,7.85,0,0,0,0.0
Professor_Lee,United Kingdom,12,412,884,7.09,3,0,23,9.5
Karo_cchi,"Katowice, Poland",2,294,635,7.85,78,232,392,7.9
sutter75,"Vác, Pest",75,196,468,9.33,3,0,6,0.0
SSTchock,"Paris, France",5,266,456,7.85,22,23,98,7.88
Kasi0807,Austria,21,507,720,5.77,4,9,63,0.0
hfmr2011,,3,316,362,7.17,28,102,174,7.48
dense7su,,1,480,487,8.65,3,58,151,8.15
shinda1992,,33,486,878,7.81,0,0,0,0.0
qoozi,,7,730,737,0.0,0,0,0,0.0
Emptyness,Bulgaria,3,152,180,7.91,4,11,34,8.86
The_Hellion,,3,22,36,8.09,0,0,0,0.0
Qerat,,5,62,137,9.0,2,0,3,0.0
YagamiKun0,,5,5,13,9.55,0,0,0,0.0
Memmuutttt123,,8,40,54,6.64,0,0,0,0.0
cr4shcod3,,42,151,213,0.0,0,0,0,0.0
Smile9937,,19,66,103,0.0,0,0,0,0.0
RuBiXuitous,Head in the Clouds,11,487,784,6.98,51,85,387,7.57
paru48,,8,328,472,7.58,10,13,55,7.44
smash2,,1,245,562,7.33,1,1,4,0.0
misstinguette16,,3,28,65,7.88,3,2,6,9.25
EnsMsgLu,,15,144,206,4.4,5,0,5,0.0
PP_529,,214,105,324,10.0,1,0,1,0.0
CharisardTT,,24,119,193,7.26,0,0,1,0.0
Deibitto,Badalona,21,267,737,7.25,7,2,108,9.17
n___n89,,6,90,107,6.2,1,8,9,0.0
Solange9,Brazil,1,5,6,8.8,0,0,0,0.0
ShadyGiraffe,,0,0,0,0.0,0,0,7,0.0
AaronCitron,France,23,112,148,7.31,3,1,4,8.33
ArWoXx,,11,62,146,8.88,0,0,5,0.0
LightBestGirl,,8,111,140,7.27,12,11,23,8.61
Aj_Mol,,19,858,917,8.38,15,35,50,8.22
Yudi_Shintate,,14,69,107,0.0,0,0,0,0.0
Aditya_1908,,3,4,14,9.25,0,0,0,0.0
uwagaDUDE,,5,36,51,6.67,0,0,1,0.0
James-LastOmnic,France,3,70,132,6.88,6,0,21,6.2
mthy76,,16,125,229,7.31,1,4,6,0.0
SrVerataro,,17,155,282,7.16,9,9,27,9.4
DarkSoul932,,24,327,719,7.5,7,1,10,7.0
random_savage,Over there,2,209,279,7.55,0,0,0,0.0
BlackDracRises92,,3,75,121,8.15,0,0,0,0.0
RogueCitizen64,"Guwahati, India",1,182,196,0.0,14,17,33,0.0
Langolyer,"Ukraine, Kharkiv",10,544,652,6.63,26,109,197,7.4
dakkon,,8,977,1327,5.79,4,103,158,8.23
ELECTROGAM,,2,6,43,0.0,0,0,0,0.0
JaxJaxs,,11,352,375,7.69,1,0,2,9.5
miguelzete,"Maceió, Brazil",6,54,105,5.37,2,1,19,9.5
vantran,,3,16,29,0.0,0,0,0,0.0
Apocowboy,,3,136,186,6.75,8,36,93,6.17
kip93,In a pineapple under the sea,8,181,426,7.66,0,0,26,0.0
Gouste,,186,700,992,6.94,9,6,19,8.43
Xenovia2505,,8,189,380,6.85,0,0,0,0.0
Naitsuki,"Málaga, Spain",32,967,1726,7.7,14,6,87,9.33
Matifcd,"Mendoza, Argentina",7,136,336,7.62,9,19,113,8.04
dEmiYuko,"Rovaniemi, Finland",34,224,665,8.08,11,7,51,8.33
Zumbach,,1,265,559,5.71,5,11,94,0.0
toast53,"Lomita, CA",11,64,117,8.77,7,6,21,8.69
Schurge,,11,168,652,7.73,6,1,12,8.45
Icewind1226,Minnesota,4,286,297,6.56,0,0,0,0.0
Shazam0285,CA,7,1447,1497,7.24,3,11,15,7.4
miraomiry,,5,31,44,7.45,2,2,4,7.25
ArchaicAlchemy,Indonesia,4,64,79,7.78,9,19,30,8.0
Nick_le_viking,,1,70,99,7.63,0,0,0,0.0
mittsq,,5,141,344,7.15,0,0,0,0.0
carpetsenpai,,8,28,88,8.48,0,0,0,0.0
apexpredator1997,"Kolkata,India",14,153,340,9.43,0,0,0,0.0
Son_Gokuu_,"Villongo, Bergamo, Italy",14,75,122,8.01,0,0,0,0.0
Z4ncr0v,,6,40,47,8.68,0,0,0,0.0
Malacay,,1,38,62,7.16,0,0,1,0.0
fedora69420,,13,122,234,7.17,10,4,14,9.25
MidDrift,,1,182,251,8.17,0,0,0,0.0
pawel9802,"Lublin, Poland",4,44,263,7.57,0,0,0,0.0
SilentStorm657,,19,158,363,8.1,0,1,1,9.0
gsraavan,,0,14,14,0.0,0,0,0,0.0
aronsolberg,,16,43,90,0.0,5,0,5,0.0
PoluZ,,8,96,137,7.95,0,0,0,0.0
J0lly_Jump3r,"Vorarlberg, Austria",26,291,521,8.02,3,1,8,9.0
mmd1997,,0,95,127,7.2,0,18,20,8.06
Black69,,16,108,213,7.44,9,7,51,9.06
crankputty,,24,766,1121,8.85,1,2,8,0.0
deadgrlspeaking,DDS.NET ,0,461,869,7.61,40,140,331,7.91
Shara_the_weeb,,4,7,33,9.0,0,0,0,0.0
Prophet--,,1,14,35,9.33,0,0,0,0.0
xN_H,,2,226,286,9.01,0,0,0,0.0
AlexRio,"Sorocaba,São Paulo",31,120,288,7.25,41,41,123,8.56
Blacksalsss,,13,216,373,7.87,0,0,0,0.0
Hootsman,,0,158,159,8.09,0,2,2,8.0
MrLixoso,Brazil,14,123,185,6.7,3,3,7,9.0
Firekraken12,,5,9,28,0.0,0,2,2,0.0
Totya,,8,297,329,8.69,1,2,3,9.0
SilverFish21,Szczecin ,3,45,57,7.89,16,4,20,7.2
Hoshidoru,"Tarragona,Spain",27,278,435,8.26,111,208,361,8.17
kaneko_ken,,11,186,457,7.91,27,6,38,8.88
Kalessins,,33,143,218,7.58,3,0,3,9.0
tiagopoter,,5,86,134,8.45,1,4,7,8.5
HereOh,,6,299,636,7.22,0,0,0,0.0
Dr_Phil156,,6,154,220,7.77,1,3,7,8.0
Chicken1212,,0,1,2,0.0,0,0,0,0.0
Arita2,,2,17,19,10.0,0,0,0,0.0
KrawatXP2003,"New Delhi, India",1,105,120,8.16,1,1,6,6.0
patrox89,,3,48,113,7.65,2,0,11,10.0
Zach1603,,9,112,142,9.4,2,1,4,0.0
Scoko217,,10,108,217,8.46,1,0,1,0.0
luix1999,,5,19,30,8.44,6,2,8,9.5
Kigoli,,5,27,33,8.18,0,0,0,0.0
Sinou,,7,149,178,10.0,2,2,4,9.25
AbusedGrape,,4,32,47,10.0,1,1,2,0.0
Ngt_12,,9,100,215,8.5,12,7,54,9.0
Brazorf,,7,342,356,7.71,167,106,273,8.08
MakiRuby,"Penang, Malaysia ",42,732,945,8.07,47,35,84,0.0
Timar,Germany,5,110,483,7.51,1,0,1,0.0
courtjenster,Ireland,3,141,239,7.1,13,47,171,7.13
Saladlegs,anime,11,336,571,6.41,24,48,140,7.38
FloodedArk,"London, England",1,27,28,6.0,0,0,0,0.0
weebdza,Kraljevo,3,46,137,7.63,3,6,28,8.88
dakedosan,,32,632,789,7.06,17,33,52,7.09
_Lana_,,6,278,354,7.6,12,9,43,0.0
valerio1232,"Naples, Italy",14,508,556,6.87,16,15,33,7.15
Fox-sensei,Germany,1,97,220,0.0,11,24,55,0.0
Tomo-san7,"Winchester, England",184,146,629,8.69,19,6,74,8.5
Noacidi,,6,164,245,0.0,115,12,128,0.0
The_black_shadow,"Florence, Italy",17,608,752,7.47,11,2,19,0.0
Kamishoto,,16,171,877,6.71,1,2,3,4.0
Cplcido,,16,176,267,8.2,0,0,0,0.0
Svianc,West Java,10,117,170,8.2,2,0,4,0.0
Deemer121,,5,129,157,0.0,0,0,0,0.0
Victoriqu_e,,95,67,521,8.0,29,0,57,0.0
Darkshogun,"Miami, Florida",24,293,537,7.63,0,0,0,0.0
Eneenra,Poland,19,198,259,9.13,6,3,9,0.0
Yumakii,"San Francisco, CA",7,97,242,7.99,30,44,83,8.18
Lummy,Portugal,16,1178,2105,7.56,6,23,38,7.24
Rynia,,6,543,909,7.63,2,49,136,5.96
Rudorufudesu,,0,1,1,10.0,0,0,0,0.0
Leon7957,,12,124,204,6.73,13,12,36,6.5
sachii-chan-001,"Damascus, Syris",4,134,236,8.34,0,0,0,0.0
Vitei,"Federal District, Brazil",10,90,113,6.51,2,10,13,7.77
jayjelly,,1,64,165,10.0,3,6,9,10.0
KrazyyX,,1,139,142,10.0,0,0,0,0.0
sebfossen,"Rogaland, Norway",32,382,1286,7.32,22,3,92,8.17
1ryan1,,0,191,304,7.83,1,0,1,0.0
gendofriendo,,8,747,849,0.0,4,5,9,0.0
404_UserNotFound,,10,212,239,7.87,23,21,47,8.61
Ararararagi,,12,259,326,7.97,82,29,114,7.98
ragnir_XD,,0,0,0,0.0,0,0,0,0.0
Yukon982,,2,18,28,0.0,0,0,0,0.0
Sugarbytes,,3,10,25,8.43,0,0,2,0.0
